"Plants for multiple sectors,multiple states,conventional hydroelectric"
"https://www.eia.gov/beta/electricity/data/browser/#/topic/1?agg=2,0,1&fuel=00000008&pt=&pm=&sec=vvo&geo=00000006&wd=&ws=&wsn=&wt=&freq=M&datecode=201811&tab=generation&pin=&rse=0&maptype=0%3Cype&ctype=linechart&end=201710&start=200101"
"Wed Nov 27 2019 21:05:32 GMT+0100 (Central European Standard Time)"
"Source: U.S. Energy Information Administration"
"Plant Name","ALL","WAT","DFO","NG","JF","RFO","BIT"
"99 Islands",8732,8732,"--","--","--","--","--"
"Avalon Hydropower",523,523,"--","--","--","--","--"
"Bad Creek",-43589,-43589,"--","--","--","--","--"
"Bear Creek Dam",3904,3904,"--","--","--","--","--"
"Blewett",9276,9267,9,"--","--","--","--"
"Boyds Mill Hydro",449,449,"--","--","--","--","--"
"Bridgewater",12341,12341,"--","--","--","--","--"
"Buzzard Roost",4385,4385,0,0,"--","--","--"
"Cedar Cliff",2895,2895,"--","--","--","--","--"
"Cedar Creek",18682,18682,"--","--","--","--","--"
"Chatuge",3784,3784,"--","--","--","--","--"
"Cheoah",60393,60393,"--","--","--","--","--"
"Cherokee Falls",0,0,"--","--","--","--","--"
"Clifton Dam 3 Power Station",495,495,"--","--","--","--","--"
"Cowans Ford",32635,32635,"--","--","--","--","--"
"Dearborn",23296,23296,"--","--","--","--","--"
"Fairfield Pumped Storage",-7554,-7554,"--","--","--","--","--"
"Falls Hydro",16717,16717,"--","--","--","--","--"
"Fishing Creek",21348,21348,"--","--","--","--","--"
"Fontana Dam",120657,120657,"--","--","--","--","--"
"Franklin (NC)",391,391,"--","--","--","--","--"
"Gaston",79961,79961,"--","--","--","--","--"
"Gaston Shoals",1540,1540,"--","--","--","--","--"
"Great Falls (SC)",-10,-10,"--","--","--","--","--"
"Haw River Hydro",706,706,"--","--","--","--","--"
"High Rock Hydro",16007,16007,"--","--","--","--","--"
"High Shoals Hydro (NC)",163,163,"--","--","--","--","--"
"Hiwassee Dam",31983,31983,"--","--","--","--","--"
"Hollidays Bridge Hydro",1360,1360,"--","--","--","--","--"
"J Strom Thurmond",64509,64509,"--","--","--","--","--"
"Jefferies",22364,22364,0,"--",0,0,0
"Jocassee",-25137,-25137,"--","--","--","--","--"
"Jordan Hydroelectric Project",1080,1080,"--","--","--","--","--"
"Keowee",10292,10292,"--","--","--","--","--"
"Lake Lure",1104,1104,"--","--","--","--","--"
"Lockhart",9218,9218,"--","--","--","--","--"
"Lockville Hydropower",36,36,"--","--","--","--","--"
"Lookout Shoals",17086,17086,"--","--","--","--","--"
"Marshall Dam",85,85,"--","--","--","--","--"
"Metropolitan Sewerage District",677,677,"--","--","--","--","--"
"Mission",565,565,"--","--","--","--","--"
"Mountain Island",21760,21760,"--","--","--","--","--"
"Nantahala",28330,28330,"--","--","--","--","--"
"Narrows (NC)",62165,62165,"--","--","--","--","--"
"Neal Shoals",2743,2743,"--","--","--","--","--"
"Oxford Dam",11271,11271,"--","--","--","--","--"
"Parr Hydro",5665,5665,"--","--","--","--","--"
"Pelzer Lower",1073,1073,"--","--","--","--","--"
"Pelzer Upper",1073,1073,"--","--","--","--","--"
"Piedmont Hydro Power Project",680,680,"--","--","--","--","--"
"Queens Creek",485,485,"--","--","--","--","--"
"Rhodhiss",12510,12510,"--","--","--","--","--"
"Roanoke Rapids",39431,39431,"--","--","--","--","--"
"Rocky Mount Mill",0,0,"--","--","--","--","--"
"Rocky River (SC)",645,642,3,"--","--","--","--"
"Saluda Dam",1157,1157,"--","--","--","--","--"
"Saluda Lexington",23293,23293,"--","--","--","--","--"
"Santeetlah",14977,14977,"--","--","--","--","--"
"Spartanburg Water System",333,333,0,"--","--","--","--"
"Spillway",1547,1547,"--","--","--","--","--"
"St Stephen",34964,34964,"--","--","--","--","--"
"Tennessee Creek",5045,5045,"--","--","--","--","--"
"Thorpe",10069,10069,"--","--","--","--","--"
"Tillery",25022,25022,"--","--","--","--","--"
"Tuckasegee",742,742,"--","--","--","--","--"
"Tuckertown Hydro",17243,17243,"--","--","--","--","--"
"Turner Shoals",2159,2159,"--","--","--","--","--"
"Tuxedo",3551,3551,"--","--","--","--","--"
"Upper Pacolet Hydro",512,512,"--","--","--","--","--"
"Walters",50112,50112,"--","--","--","--","--"
"Ware Shoals Hydro Project",631,631,"--","--","--","--","--"
"Wateree Hydro",35236,35236,"--","--","--","--","--"
"Wylie",18437,18437,"--","--","--","--","--"
