"Plants for multiple sectors,multiple states,conventional hydroelectric"
"https://www.eia.gov/beta/electricity/data/browser/#/topic/1?agg=2,0,1&fuel=00000008&pt=&pm=&sec=vvo&geo=00000006&wd=&ws=&wsn=&wt=&freq=M&datecode=201812&tab=generation&start=200101&end=201710&ctype=linechart&maptype=0%3Cype&rse=0&pin="
"Wed Nov 27 2019 21:05:51 GMT+0100 (Central European Standard Time)"
"Source: U.S. Energy Information Administration"
"Plant Name","ALL","WAT","DFO","NG","BIT","RFO","JF"
"99 Islands",10237,10237,"--","--","--","--","--"
"Avalon Hydropower",554,554,"--","--","--","--","--"
"Bad Creek",-50900,-50900,"--","--","--","--","--"
"Bear Creek Dam",4577,4577,"--","--","--","--","--"
"Blewett",10876,10864,12,"--","--","--","--"
"Boyds Mill Hydro",527,527,"--","--","--","--","--"
"Bridgewater",14468,14468,"--","--","--","--","--"
"Buzzard Roost",5141,5141,0,0,"--","--","--"
"Cedar Cliff",3394,3394,"--","--","--","--","--"
"Cedar Creek",21903,21903,"--","--","--","--","--"
"Chatuge",4437,4437,"--","--","--","--","--"
"Cheoah",70803,70803,"--","--","--","--","--"
"Cherokee Falls",161,161,"--","--","--","--","--"
"Clifton Dam 3 Power Station",580,580,"--","--","--","--","--"
"Cowans Ford",38261,38261,"--","--","--","--","--"
"Dearborn",27311,27311,"--","--","--","--","--"
"Fairfield Pumped Storage",-6662,-6662,"--","--","--","--","--"
"Falls Hydro",19598,19598,"--","--","--","--","--"
"Fishing Creek",25028,25028,"--","--","--","--","--"
"Fontana Dam",141455,141455,"--","--","--","--","--"
"Franklin (NC)",458,458,"--","--","--","--","--"
"Gaston",72252,72252,"--","--","--","--","--"
"Gaston Shoals",1806,1806,"--","--","--","--","--"
"Great Falls (SC)",-11,-11,"--","--","--","--","--"
"Haw River Hydro",828,828,"--","--","--","--","--"
"High Rock Hydro",18766,18766,"--","--","--","--","--"
"High Shoals Hydro (NC)",433,433,"--","--","--","--","--"
"Hiwassee Dam",53159,53159,"--","--","--","--","--"
"Hollidays Bridge Hydro",1595,1595,"--","--","--","--","--"
"J Strom Thurmond",75628,75628,"--","--","--","--","--"
"Jefferies",26219,26219,0,"--",0,0,0
"Jocassee",5104,5104,"--","--","--","--","--"
"Jordan Hydroelectric Project",1267,1267,"--","--","--","--","--"
"Keowee",12066,12066,"--","--","--","--","--"
"Lake Lure",1294,1294,"--","--","--","--","--"
"Lockhart",10806,10806,"--","--","--","--","--"
"Lockville Hydropower",42,42,"--","--","--","--","--"
"Lookout Shoals",20031,20031,"--","--","--","--","--"
"Marshall Dam",100,100,"--","--","--","--","--"
"Metropolitan Sewerage District",748,748,"--","--","--","--","--"
"Mission",662,662,"--","--","--","--","--"
"Mountain Island",25511,25511,"--","--","--","--","--"
"Nantahala",33213,33213,"--","--","--","--","--"
"Narrows (NC)",72880,72880,"--","--","--","--","--"
"Neal Shoals",3216,3216,"--","--","--","--","--"
"Oxford Dam",13214,13214,"--","--","--","--","--"
"Parr Hydro",6642,6642,"--","--","--","--","--"
"Pelzer Lower",1258,1258,"--","--","--","--","--"
"Pelzer Upper",1258,1258,"--","--","--","--","--"
"Piedmont Hydro Power Project",797,797,"--","--","--","--","--"
"Queens Creek",568,568,"--","--","--","--","--"
"Rhodhiss",14667,14667,"--","--","--","--","--"
"Roanoke Rapids",46228,46228,"--","--","--","--","--"
"Rocky Mount Mill",0,0,"--","--","--","--","--"
"Rocky River (SC)",756,753,3,"--","--","--","--"
"Saluda Dam",1356,1356,"--","--","--","--","--"
"Saluda Lexington",27308,27308,"--","--","--","--","--"
"Santeetlah",17558,17558,"--","--","--","--","--"
"Spartanburg Water System",336,336,0,"--","--","--","--"
"Spillway",1813,1813,"--","--","--","--","--"
"St Stephen",40991,40991,"--","--","--","--","--"
"Tennessee Creek",5915,5915,"--","--","--","--","--"
"Thorpe",11805,11805,"--","--","--","--","--"
"Tillery",29335,29335,"--","--","--","--","--"
"Tuckasegee",870,870,"--","--","--","--","--"
"Tuckertown Hydro",20215,20215,"--","--","--","--","--"
"Turner Shoals",1879,1879,"--","--","--","--","--"
"Tuxedo",4163,4163,"--","--","--","--","--"
"Upper Pacolet Hydro",600,600,"--","--","--","--","--"
"Walters",58749,58749,"--","--","--","--","--"
"Ware Shoals Hydro Project",971,971,"--","--","--","--","--"
"Wateree Hydro",41310,41310,"--","--","--","--","--"
"Wylie",21615,21615,"--","--","--","--","--"
