"Plants for multiple sectors,multiple states,conventional hydroelectric"
"https://www.eia.gov/beta/electricity/data/browser/#/topic/1?agg=2,0,1&fuel=00000008&pt=&pm=&sec=vvo&geo=00000006&wd=&ws=&wsn=&wt=&freq=M&datecode=201803&tab=generation&pin=&rse=0&maptype=0%3Cype&ctype=linechart&end=201710&start=200101"
"Wed Nov 27 2019 21:03:31 GMT+0100 (Central European Standard Time)"
"Source: U.S. Energy Information Administration"
"Plant Name","ALL","WAT","DFO","NG","JF","BIT","RFO"
"99 Islands",5486,5486,"--","--","--","--","--"
"Avalon Hydropower",429,429,"--","--","--","--","--"
"Bad Creek",-1303,-1303,"--","--","--","--","--"
"Bear Creek Dam",2453,2453,"--","--","--","--","--"
"Blewett",5831,5822,10,"--","--","--","--"
"Boyds Mill Hydro",282,282,"--","--","--","--","--"
"Bridgewater",7753,7753,"--","--","--","--","--"
"Buzzard Roost",2755,2755,0,0,"--","--","--"
"Cedar Cliff",1819,1819,"--","--","--","--","--"
"Cedar Creek",11737,11737,"--","--","--","--","--"
"Chatuge",2377,2377,"--","--","--","--","--"
"Cheoah",37940,37940,"--","--","--","--","--"
"Cherokee Falls",1089,1089,"--","--","--","--","--"
"Clifton Dam 3 Power Station",311,311,"--","--","--","--","--"
"Cowans Ford",20502,20502,"--","--","--","--","--"
"Dearborn",14635,14635,"--","--","--","--","--"
"Fairfield Pumped Storage",-10578,-10578,"--","--","--","--","--"
"Falls Hydro",10502,10502,"--","--","--","--","--"
"Fishing Creek",13411,13411,"--","--","--","--","--"
"Fontana Dam",75800,75800,"--","--","--","--","--"
"Franklin (NC)",245,245,"--","--","--","--","--"
"Gaston",16750,16750,"--","--","--","--","--"
"Gaston Shoals",968,968,"--","--","--","--","--"
"Great Falls (SC)",-6,-6,"--","--","--","--","--"
"Haw River Hydro",444,444,"--","--","--","--","--"
"High Rock Hydro",10056,10056,"--","--","--","--","--"
"High Shoals Hydro (NC)",683,683,"--","--","--","--","--"
"Hiwassee Dam",32595,32595,"--","--","--","--","--"
"Hollidays Bridge Hydro",855,855,"--","--","--","--","--"
"J Strom Thurmond",40526,40526,"--","--","--","--","--"
"Jefferies",14050,14050,0,"--",0,0,0
"Jocassee",-10338,-10338,"--","--","--","--","--"
"Jordan Hydroelectric Project",679,679,"--","--","--","--","--"
"Keowee",6466,6466,"--","--","--","--","--"
"Lake Lure",693,693,"--","--","--","--","--"
"Lockhart",5791,5791,"--","--","--","--","--"
"Lockville Hydropower",22,22,"--","--","--","--","--"
"Lookout Shoals",10734,10734,"--","--","--","--","--"
"Marshall Dam",54,54,"--","--","--","--","--"
"Metropolitan Sewerage District",1046,1046,"--","--","--","--","--"
"Mission",355,355,"--","--","--","--","--"
"Mountain Island",13670,13670,"--","--","--","--","--"
"Nantahala",17797,17797,"--","--","--","--","--"
"Narrows (NC)",39054,39054,"--","--","--","--","--"
"Neal Shoals",1723,1723,"--","--","--","--","--"
"Oxford Dam",7081,7081,"--","--","--","--","--"
"Parr Hydro",3559,3559,"--","--","--","--","--"
"Pelzer Lower",674,674,"--","--","--","--","--"
"Pelzer Upper",674,674,"--","--","--","--","--"
"Piedmont Hydro Power Project",427,427,"--","--","--","--","--"
"Queens Creek",304,304,"--","--","--","--","--"
"Rhodhiss",7859,7859,"--","--","--","--","--"
"Roanoke Rapids",24771,24771,"--","--","--","--","--"
"Rocky Creek",-13,-13,"--","--","--","--","--"
"Rocky Mount Mill",0,0,"--","--","--","--","--"
"Rocky River (SC)",405,403,2,"--","--","--","--"
"Saluda Dam",727,727,"--","--","--","--","--"
"Saluda Lexington",14633,14633,"--","--","--","--","--"
"Santeetlah",9409,9409,"--","--","--","--","--"
"Spartanburg Water System",256,256,0,"--","--","--","--"
"Spillway",972,972,"--","--","--","--","--"
"St Stephen",21966,21966,"--","--","--","--","--"
"Tennessee Creek",3170,3170,"--","--","--","--","--"
"Thorpe",6326,6326,"--","--","--","--","--"
"Tillery",15720,15720,"--","--","--","--","--"
"Tuckasegee",466,466,"--","--","--","--","--"
"Tuckertown Hydro",10832,10832,"--","--","--","--","--"
"Turner Shoals",1472,1472,"--","--","--","--","--"
"Tuxedo",2231,2231,"--","--","--","--","--"
"Upper Pacolet Hydro",322,322,"--","--","--","--","--"
"Walters",31481,31481,"--","--","--","--","--"
"Ware Shoals Hydro Project",1949,1949,"--","--","--","--","--"
"Wateree Hydro",22136,22136,"--","--","--","--","--"
"Wylie",11582,11582,"--","--","--","--","--"
