"Plants for multiple sectors,multiple states,conventional hydroelectric"
"https://www.eia.gov/beta/electricity/data/browser/#/topic/1?agg=2,0,1&fuel=00000008&pt=&pm=&sec=vvo&geo=00000006&wd=&ws=&wsn=&wt=&freq=M&datecode=201805&tab=generation&pin=&rse=0&maptype=0%3Cype&ctype=linechart&end=201710&start=200101"
"Wed Nov 27 2019 21:04:03 GMT+0100 (Central European Standard Time)"
"Source: U.S. Energy Information Administration"
"Plant Name","ALL","WAT","DFO","NG","RFO","BIT","JF"
"99 Islands",7276,7276,"--","--","--","--","--"
"Avalon Hydropower",488,488,"--","--","--","--","--"
"Bad Creek",-1182,-1182,"--","--","--","--","--"
"Bear Creek Dam",3254,3254,"--","--","--","--","--"
"Blewett",7731,7722,9,"--","--","--","--"
"Boyds Mill Hydro",374,374,"--","--","--","--","--"
"Bridgewater",10284,10284,"--","--","--","--","--"
"Buzzard Roost",3654,3654,0,0,"--","--","--"
"Cedar Cliff",2413,2413,"--","--","--","--","--"
"Cedar Creek",15568,15568,"--","--","--","--","--"
"Chatuge",3153,3153,"--","--","--","--","--"
"Cheoah",50325,50325,"--","--","--","--","--"
"Cherokee Falls",0,0,"--","--","--","--","--"
"Clifton Dam 3 Power Station",412,412,"--","--","--","--","--"
"Cowans Ford",27195,27195,"--","--","--","--","--"
"Dearborn",19412,19412,"--","--","--","--","--"
"Fairfield Pumped Storage",-15140,-15140,"--","--","--","--","--"
"Falls Hydro",13930,13930,"--","--","--","--","--"
"Fishing Creek",17789,17789,"--","--","--","--","--"
"Fontana Dam",100543,100543,"--","--","--","--","--"
"Franklin (NC)",326,326,"--","--","--","--","--"
"Gaston",59067,59067,"--","--","--","--","--"
"Gaston Shoals",1283,1283,"--","--","--","--","--"
"Great Falls (SC)",-8,-8,"--","--","--","--","--"
"Haw River Hydro",589,589,"--","--","--","--","--"
"High Rock Hydro",13338,13338,"--","--","--","--","--"
"High Shoals Hydro (NC)",652,652,"--","--","--","--","--"
"Hiwassee Dam",15506,15506,"--","--","--","--","--"
"Hollidays Bridge Hydro",1134,1134,"--","--","--","--","--"
"J Strom Thurmond",53755,53755,"--","--","--","--","--"
"Jefferies",18636,18636,0,"--",0,0,0
"Jocassee",-10913,-10913,"--","--","--","--","--"
"Jordan Hydroelectric Project",900,900,"--","--","--","--","--"
"Keowee",8576,8576,"--","--","--","--","--"
"Lake Lure",920,920,"--","--","--","--","--"
"Lockhart",7681,7681,"--","--","--","--","--"
"Lockville Hydropower",30,30,"--","--","--","--","--"
"Lookout Shoals",14238,14238,"--","--","--","--","--"
"Marshall Dam",71,71,"--","--","--","--","--"
"Metropolitan Sewerage District",311,311,"--","--","--","--","--"
"Mission",471,471,"--","--","--","--","--"
"Mountain Island",18133,18133,"--","--","--","--","--"
"Nantahala",23607,23607,"--","--","--","--","--"
"Narrows (NC)",51802,51802,"--","--","--","--","--"
"Neal Shoals",2286,2286,"--","--","--","--","--"
"Oxford Dam",9392,9392,"--","--","--","--","--"
"Parr Hydro",4721,4721,"--","--","--","--","--"
"Pelzer Lower",894,894,"--","--","--","--","--"
"Pelzer Upper",894,894,"--","--","--","--","--"
"Piedmont Hydro Power Project",566,566,"--","--","--","--","--"
"Queens Creek",404,404,"--","--","--","--","--"
"Rhodhiss",10425,10425,"--","--","--","--","--"
"Roanoke Rapids",32858,32858,"--","--","--","--","--"
"Rocky Creek",-17,-17,"--","--","--","--","--"
"Rocky Mount Mill",0,0,"--","--","--","--","--"
"Rocky River (SC)",538,535,3,"--","--","--","--"
"Saluda Dam",964,964,"--","--","--","--","--"
"Saluda Lexington",19410,19410,"--","--","--","--","--"
"Santeetlah",12480,12480,"--","--","--","--","--"
"Spartanburg Water System",261,254,7,"--","--","--","--"
"Spillway",1289,1289,"--","--","--","--","--"
"St Stephen",29136,29136,"--","--","--","--","--"
"Tennessee Creek",4204,4204,"--","--","--","--","--"
"Thorpe",8391,8391,"--","--","--","--","--"
"Tillery",20851,20851,"--","--","--","--","--"
"Tuckasegee",618,618,"--","--","--","--","--"
"Tuckertown Hydro",14368,14368,"--","--","--","--","--"
"Turner Shoals",2063,2063,"--","--","--","--","--"
"Tuxedo",2959,2959,"--","--","--","--","--"
"Upper Pacolet Hydro",427,427,"--","--","--","--","--"
"Walters",41758,41758,"--","--","--","--","--"
"Ware Shoals Hydro Project",1715,1715,"--","--","--","--","--"
"Wateree Hydro",29362,29362,"--","--","--","--","--"
"Wylie",15363,15363,"--","--","--","--","--"
