"Plants for multiple sectors,multiple states,conventional hydroelectric"
"https://www.eia.gov/beta/electricity/data/browser/#/topic/1?agg=2,0,1&fuel=00000008&pt=&pm=&sec=vvo&geo=00000006&wd=&ws=&wsn=&wt=&freq=M&datecode=201806&tab=generation&start=200101&end=201710&ctype=linechart&maptype=0%3Cype&rse=0&pin="
"Wed Nov 27 2019 21:04:18 GMT+0100 (Central European Standard Time)"
"Source: U.S. Energy Information Administration"
"Plant Name","ALL","WAT","DFO","NG","BIT","JF","RFO"
"99 Islands",4916,4916,"--","--","--","--","--"
"Avalon Hydropower",315,315,"--","--","--","--","--"
"Bad Creek",-38299,-38299,"--","--","--","--","--"
"Bear Creek Dam",2198,2198,"--","--","--","--","--"
"Blewett",5226,5217,8,"--","--","--","--"
"Boyds Mill Hydro",253,253,"--","--","--","--","--"
"Bridgewater",6948,6948,"--","--","--","--","--"
"Buzzard Roost",2469,2469,0,0,"--","--","--"
"Cedar Cliff",1630,1630,"--","--","--","--","--"
"Cedar Creek",10518,10518,"--","--","--","--","--"
"Chatuge",2131,2131,"--","--","--","--","--"
"Cheoah",34002,34002,"--","--","--","--","--"
"Cherokee Falls",0,0,"--","--","--","--","--"
"Clifton Dam 3 Power Station",278,278,"--","--","--","--","--"
"Cowans Ford",18374,18374,"--","--","--","--","--"
"Dearborn",13116,13116,"--","--","--","--","--"
"Fairfield Pumped Storage",-19240,-19240,"--","--","--","--","--"
"Falls Hydro",9412,9412,"--","--","--","--","--"
"Fishing Creek",12019,12019,"--","--","--","--","--"
"Fontana Dam",67931,67931,"--","--","--","--","--"
"Franklin (NC)",220,220,"--","--","--","--","--"
"Gaston",19104,19104,"--","--","--","--","--"
"Gaston Shoals",867,867,"--","--","--","--","--"
"Great Falls (SC)",-5,-5,"--","--","--","--","--"
"Haw River Hydro",398,398,"--","--","--","--","--"
"High Rock Hydro",9012,9012,"--","--","--","--","--"
"High Shoals Hydro (NC)",568,568,"--","--","--","--","--"
"Hiwassee Dam",43299,43299,"--","--","--","--","--"
"Hollidays Bridge Hydro",766,766,"--","--","--","--","--"
"J Strom Thurmond",36319,36319,"--","--","--","--","--"
"Jefferies",12591,12591,0,"--",0,0,0
"Jocassee",-22837,-22837,"--","--","--","--","--"
"Jordan Hydroelectric Project",608,608,"--","--","--","--","--"
"Keowee",5794,5794,"--","--","--","--","--"
"Lake Lure",621,621,"--","--","--","--","--"
"Lockhart",5190,5190,"--","--","--","--","--"
"Lockville Hydropower",20,20,"--","--","--","--","--"
"Lookout Shoals",9620,9620,"--","--","--","--","--"
"Marshall Dam",48,48,"--","--","--","--","--"
"Metropolitan Sewerage District",0,0,"--","--","--","--","--"
"Mission",318,318,"--","--","--","--","--"
"Mountain Island",12251,12251,"--","--","--","--","--"
"Nantahala",15950,15950,"--","--","--","--","--"
"Narrows (NC)",35000,35000,"--","--","--","--","--"
"Neal Shoals",1544,1544,"--","--","--","--","--"
"Oxford Dam",6346,6346,"--","--","--","--","--"
"Parr Hydro",3190,3190,"--","--","--","--","--"
"Pelzer Lower",604,604,"--","--","--","--","--"
"Pelzer Upper",604,604,"--","--","--","--","--"
"Piedmont Hydro Power Project",383,383,"--","--","--","--","--"
"Queens Creek",273,273,"--","--","--","--","--"
"Rhodhiss",7044,7044,"--","--","--","--","--"
"Roanoke Rapids",22200,22200,"--","--","--","--","--"
"Rocky Mount Mill",0,0,"--","--","--","--","--"
"Rocky River (SC)",363,362,1,"--","--","--","--"
"Saluda Dam",651,651,"--","--","--","--","--"
"Saluda Lexington",13114,13114,"--","--","--","--","--"
"Santeetlah",8432,8432,"--","--","--","--","--"
"Spartanburg Water System",188,172,16,"--","--","--","--"
"Spillway",871,871,"--","--","--","--","--"
"St Stephen",19685,19685,"--","--","--","--","--"
"Tennessee Creek",2841,2841,"--","--","--","--","--"
"Thorpe",5669,5669,"--","--","--","--","--"
"Tillery",14088,14088,"--","--","--","--","--"
"Tuckasegee",418,418,"--","--","--","--","--"
"Tuckertown Hydro",9708,9708,"--","--","--","--","--"
"Turner Shoals",2750,2750,"--","--","--","--","--"
"Tuxedo",1999,1999,"--","--","--","--","--"
"Upper Pacolet Hydro",288,288,"--","--","--","--","--"
"Walters",28213,28213,"--","--","--","--","--"
"Ware Shoals Hydro Project",2154,2154,"--","--","--","--","--"
"Wateree Hydro",19838,19838,"--","--","--","--","--"
"Wylie",10380,10380,"--","--","--","--","--"
