"Plants for multiple sectors,multiple states,conventional hydroelectric"
"https://www.eia.gov/beta/electricity/data/browser/#/topic/1?agg=2,0,1&fuel=00000008&pt=&pm=&sec=vvo&geo=00000006&wd=&ws=&wsn=&wt=&freq=M&datecode=201808&tab=generation&start=200101&end=201710&ctype=linechart&maptype=0%3Cype&rse=0&pin="
"Wed Nov 27 2019 21:04:48 GMT+0100 (Central European Standard Time)"
"Source: U.S. Energy Information Administration"
"Plant Name","ALL","WAT","DFO","NG","RFO","JF","BIT"
"99 Islands",7461,7461,"--","--","--","--","--"
"Avalon Hydropower",379,379,"--","--","--","--","--"
"Bad Creek",-50961,-50961,"--","--","--","--","--"
"Bear Creek Dam",3336,3336,"--","--","--","--","--"
"Blewett",7926,7918,8,"--","--","--","--"
"Boyds Mill Hydro",384,384,"--","--","--","--","--"
"Bridgewater",10544,10544,"--","--","--","--","--"
"Buzzard Roost",3747,3747,0,0,"--","--","--"
"Cedar Cliff",2474,2474,"--","--","--","--","--"
"Cedar Creek",15962,15962,"--","--","--","--","--"
"Chatuge",3233,3233,"--","--","--","--","--"
"Cheoah",51601,51601,"--","--","--","--","--"
"Cherokee Falls",0,0,"--","--","--","--","--"
"Clifton Dam 3 Power Station",423,423,"--","--","--","--","--"
"Cowans Ford",27884,27884,"--","--","--","--","--"
"Dearborn",19904,19904,"--","--","--","--","--"
"Fairfield Pumped Storage",-19736,-19736,"--","--","--","--","--"
"Falls Hydro",14283,14283,"--","--","--","--","--"
"Fishing Creek",18240,18240,"--","--","--","--","--"
"Fontana Dam",103091,103091,"--","--","--","--","--"
"Franklin (NC)",334,334,"--","--","--","--","--"
"Gaston",29646,29646,"--","--","--","--","--"
"Gaston Shoals",1316,1316,"--","--","--","--","--"
"Great Falls (SC)",-8,-8,"--","--","--","--","--"
"Haw River Hydro",604,604,"--","--","--","--","--"
"High Rock Hydro",13676,13676,"--","--","--","--","--"
"High Shoals Hydro (NC)",0,0,"--","--","--","--","--"
"Hiwassee Dam",40711,40711,"--","--","--","--","--"
"Hollidays Bridge Hydro",1162,1162,"--","--","--","--","--"
"J Strom Thurmond",55117,55117,"--","--","--","--","--"
"Jefferies",19108,19108,0,"--",0,0,0
"Jocassee",-6214,-6214,"--","--","--","--","--"
"Jordan Hydroelectric Project",923,923,"--","--","--","--","--"
"Keowee",8793,8793,"--","--","--","--","--"
"Lake Lure",943,943,"--","--","--","--","--"
"Lockhart",7876,7876,"--","--","--","--","--"
"Lockville Hydropower",30,30,"--","--","--","--","--"
"Lookout Shoals",14598,14598,"--","--","--","--","--"
"Marshall Dam",73,73,"--","--","--","--","--"
"Metropolitan Sewerage District",914,914,"--","--","--","--","--"
"Mission",483,483,"--","--","--","--","--"
"Mountain Island",18592,18592,"--","--","--","--","--"
"Nantahala",24205,24205,"--","--","--","--","--"
"Narrows (NC)",53115,53115,"--","--","--","--","--"
"Neal Shoals",2344,2344,"--","--","--","--","--"
"Oxford Dam",9630,9630,"--","--","--","--","--"
"Parr Hydro",4841,4841,"--","--","--","--","--"
"Pelzer Lower",917,917,"--","--","--","--","--"
"Pelzer Upper",917,917,"--","--","--","--","--"
"Piedmont Hydro Power Project",581,581,"--","--","--","--","--"
"Queens Creek",414,414,"--","--","--","--","--"
"Rhodhiss",10689,10689,"--","--","--","--","--"
"Roanoke Rapids",33690,33690,"--","--","--","--","--"
"Rocky Mount Mill",0,0,"--","--","--","--","--"
"Rocky River (SC)",551,549,2,"--","--","--","--"
"Saluda Dam",989,989,"--","--","--","--","--"
"Saluda Lexington",19902,19902,"--","--","--","--","--"
"Santeetlah",12796,12796,"--","--","--","--","--"
"Spartanburg Water System",27,18,9,"--","--","--","--"
"Spillway",1321,1321,"--","--","--","--","--"
"St Stephen",29874,29874,"--","--","--","--","--"
"Tennessee Creek",4311,4311,"--","--","--","--","--"
"Thorpe",8603,8603,"--","--","--","--","--"
"Tillery",21379,21379,"--","--","--","--","--"
"Tuckasegee",634,634,"--","--","--","--","--"
"Tuckertown Hydro",14732,14732,"--","--","--","--","--"
"Turner Shoals",1568,1568,"--","--","--","--","--"
"Tuxedo",3034,3034,"--","--","--","--","--"
"Upper Pacolet Hydro",437,437,"--","--","--","--","--"
"Walters",42816,42816,"--","--","--","--","--"
"Ware Shoals Hydro Project",1218,1218,"--","--","--","--","--"
"Wateree Hydro",30106,30106,"--","--","--","--","--"
"Wylie",15753,15753,"--","--","--","--","--"
