"Plants for multiple sectors,multiple states,conventional hydroelectric"
"https://www.eia.gov/beta/electricity/data/browser/#/topic/1?agg=2,0,1&fuel=00000008&pt=&pm=&sec=vvo&geo=00000006&wd=&ws=&wsn=&wt=&freq=M&datecode=201809&tab=generation&pin=&rse=0&maptype=0%3Cype&ctype=linechart&end=201710&start=200101"
"Wed Nov 27 2019 21:05:04 GMT+0100 (Central European Standard Time)"
"Source: U.S. Energy Information Administration"
"Plant Name","ALL","WAT","DFO","NG","BIT","RFO","JF"
"99 Islands",7204,7204,"--","--","--","--","--"
"Avalon Hydropower",441,441,"--","--","--","--","--"
"Bad Creek",-61107,-61107,"--","--","--","--","--"
"Bear Creek Dam",3221,3221,"--","--","--","--","--"
"Blewett",7650,7645,5,"--","--","--","--"
"Boyds Mill Hydro",371,371,"--","--","--","--","--"
"Bridgewater",10182,10182,"--","--","--","--","--"
"Buzzard Roost",3618,3618,0,0,"--","--","--"
"Cedar Cliff",2389,2389,"--","--","--","--","--"
"Cedar Creek",15413,15413,"--","--","--","--","--"
"Chatuge",3122,3122,"--","--","--","--","--"
"Cheoah",49826,49826,"--","--","--","--","--"
"Cherokee Falls",0,0,"--","--","--","--","--"
"Clifton Dam 3 Power Station",408,408,"--","--","--","--","--"
"Cowans Ford",26925,26925,"--","--","--","--","--"
"Dearborn",19220,19220,"--","--","--","--","--"
"Fairfield Pumped Storage",-23872,-23872,"--","--","--","--","--"
"Falls Hydro",13791,13791,"--","--","--","--","--"
"Fishing Creek",17613,17613,"--","--","--","--","--"
"Fontana Dam",99545,99545,"--","--","--","--","--"
"Franklin (NC)",322,322,"--","--","--","--","--"
"Gaston",40265,40265,"--","--","--","--","--"
"Gaston Shoals",1271,1271,"--","--","--","--","--"
"Great Falls (SC)",-8,-8,"--","--","--","--","--"
"Haw River Hydro",583,583,"--","--","--","--","--"
"High Rock Hydro",13206,13206,"--","--","--","--","--"
"High Shoals Hydro (NC)",0,0,"--","--","--","--","--"
"Hiwassee Dam",31450,31450,"--","--","--","--","--"
"Hollidays Bridge Hydro",1122,1122,"--","--","--","--","--"
"J Strom Thurmond",53221,53221,"--","--","--","--","--"
"Jefferies",18451,18451,0,"--",0,0,0
"Jocassee",-19676,-19676,"--","--","--","--","--"
"Jordan Hydroelectric Project",891,891,"--","--","--","--","--"
"Keowee",8491,8491,"--","--","--","--","--"
"Lake Lure",911,911,"--","--","--","--","--"
"Lockhart",7605,7605,"--","--","--","--","--"
"Lockville Hydropower",29,29,"--","--","--","--","--"
"Lookout Shoals",14096,14096,"--","--","--","--","--"
"Marshall Dam",70,70,"--","--","--","--","--"
"Metropolitan Sewerage District",1422,1422,"--","--","--","--","--"
"Mission",466,466,"--","--","--","--","--"
"Mountain Island",17953,17953,"--","--","--","--","--"
"Nantahala",23373,23373,"--","--","--","--","--"
"Narrows (NC)",51288,51288,"--","--","--","--","--"
"Neal Shoals",2263,2263,"--","--","--","--","--"
"Oxford Dam",9299,9299,"--","--","--","--","--"
"Parr Hydro",4674,4674,"--","--","--","--","--"
"Pelzer Lower",885,885,"--","--","--","--","--"
"Pelzer Upper",885,885,"--","--","--","--","--"
"Piedmont Hydro Power Project",561,561,"--","--","--","--","--"
"Queens Creek",400,400,"--","--","--","--","--"
"Rhodhiss",10321,10321,"--","--","--","--","--"
"Roanoke Rapids",32531,32531,"--","--","--","--","--"
"Rocky Mount Mill",0,0,"--","--","--","--","--"
"Rocky River (SC)",532,530,2,"--","--","--","--"
"Saluda Dam",955,955,"--","--","--","--","--"
"Saluda Lexington",19217,19217,"--","--","--","--","--"
"Santeetlah",12356,12356,"--","--","--","--","--"
"Spartanburg Water System",92,78,14,"--","--","--","--"
"Spillway",1276,1276,"--","--","--","--","--"
"St Stephen",28846,28846,"--","--","--","--","--"
"Tennessee Creek",4162,4162,"--","--","--","--","--"
"Thorpe",8307,8307,"--","--","--","--","--"
"Tillery",20644,20644,"--","--","--","--","--"
"Tuckasegee",612,612,"--","--","--","--","--"
"Tuckertown Hydro",14225,14225,"--","--","--","--","--"
"Turner Shoals",1336,1336,"--","--","--","--","--"
"Tuxedo",2930,2930,"--","--","--","--","--"
"Upper Pacolet Hydro",422,422,"--","--","--","--","--"
"Walters",41343,41343,"--","--","--","--","--"
"Ware Shoals Hydro Project",664,664,"--","--","--","--","--"
"Wateree Hydro",29071,29071,"--","--","--","--","--"
"Wylie",15211,15211,"--","--","--","--","--"
