"Plants for multiple sectors,multiple states,conventional hydroelectric"
"https://www.eia.gov/beta/electricity/data/browser/#/topic/1?agg=2,0,1&fuel=00000008&pt=&pm=&sec=vvo&geo=00000006&wd=&ws=&wsn=&wt=&freq=M&datecode=201801&tab=generation&pin=&rse=0&maptype=0%3Cype&ctype=linechart&end=201710&start=200101"
"Wed Nov 27 2019 21:02:12 GMT+0100 (Central European Standard Time)"
"Source: U.S. Energy Information Administration"
"Plant Name","ALL","WAT","DFO","NG","BIT","JF","RFO"
"99 Islands",5252,5252,"--","--","--","--","--"
"Avalon Hydropower",197,197,"--","--","--","--","--"
"Bad Creek",-26168,-26168,"--","--","--","--","--"
"Bear Creek Dam",2348,2348,"--","--","--","--","--"
"Blewett",5691,5574,117,"--","--","--","--"
"Boyds Mill Hydro",270,270,"--","--","--","--","--"
"Bridgewater",7423,7423,"--","--","--","--","--"
"Buzzard Roost",2637,2637,0,0,"--","--","--"
"Cedar Cliff",1741,1741,"--","--","--","--","--"
"Cedar Creek",11237,11237,"--","--","--","--","--"
"Chatuge",2276,2276,"--","--","--","--","--"
"Cheoah",36324,36324,"--","--","--","--","--"
"Cherokee Falls",577,577,"--","--","--","--","--"
"Clifton Dam 3 Power Station",297,297,"--","--","--","--","--"
"Cowans Ford",19629,19629,"--","--","--","--","--"
"Dearborn",14012,14012,"--","--","--","--","--"
"Fairfield Pumped Storage",-9172,-9172,"--","--","--","--","--"
"Falls Hydro",10054,10054,"--","--","--","--","--"
"Fishing Creek",12840,12840,"--","--","--","--","--"
"Fontana Dam",72570,72570,"--","--","--","--","--"
"Franklin (NC)",235,235,"--","--","--","--","--"
"Gaston",7535,7535,"--","--","--","--","--"
"Gaston Shoals",926,926,"--","--","--","--","--"
"Great Falls (SC)",-6,-6,"--","--","--","--","--"
"Haw River Hydro",425,425,"--","--","--","--","--"
"High Rock Hydro",9627,9627,"--","--","--","--","--"
"High Shoals Hydro (NC)",241,241,"--","--","--","--","--"
"Hiwassee Dam",12387,12387,"--","--","--","--","--"
"Hollidays Bridge Hydro",818,818,"--","--","--","--","--"
"J Strom Thurmond",38799,38799,"--","--","--","--","--"
"Jefferies",13451,13451,0,"--",0,0,0
"Jocassee",-16248,-16248,"--","--","--","--","--"
"Jordan Hydroelectric Project",650,650,"--","--","--","--","--"
"Keowee",6190,6190,"--","--","--","--","--"
"Lake Lure",664,664,"--","--","--","--","--"
"Lockhart",5544,5544,"--","--","--","--","--"
"Lockville Hydropower",21,21,"--","--","--","--","--"
"Lookout Shoals",10276,10276,"--","--","--","--","--"
"Marshall Dam",51,51,"--","--","--","--","--"
"Metropolitan Sewerage District",314,314,"--","--","--","--","--"
"Mission",340,340,"--","--","--","--","--"
"Mountain Island",13088,13088,"--","--","--","--","--"
"Nantahala",17039,17039,"--","--","--","--","--"
"Narrows (NC)",37390,37390,"--","--","--","--","--"
"Neal Shoals",1650,1650,"--","--","--","--","--"
"Oxford Dam",6779,6779,"--","--","--","--","--"
"Parr Hydro",3407,3407,"--","--","--","--","--"
"Pelzer Lower",645,645,"--","--","--","--","--"
"Pelzer Upper",645,645,"--","--","--","--","--"
"Piedmont Hydro Power Project",409,409,"--","--","--","--","--"
"Queens Creek",291,291,"--","--","--","--","--"
"Rhodhiss",7525,7525,"--","--","--","--","--"
"Roanoke Rapids",23716,23716,"--","--","--","--","--"
"Rocky Creek",-12,-12,"--","--","--","--","--"
"Rocky Mount Mill",0,0,"--","--","--","--","--"
"Rocky River (SC)",420,386,33,"--","--","--","--"
"Saluda Dam",696,696,"--","--","--","--","--"
"Saluda Lexington",14010,14010,"--","--","--","--","--"
"Santeetlah",9008,9008,"--","--","--","--","--"
"Spartanburg Water System",168,165,3,"--","--","--","--"
"Spillway",930,930,"--","--","--","--","--"
"St Stephen",21030,21030,"--","--","--","--","--"
"Tennessee Creek",3035,3035,"--","--","--","--","--"
"Thorpe",6056,6056,"--","--","--","--","--"
"Tillery",15050,15050,"--","--","--","--","--"
"Tuckasegee",446,446,"--","--","--","--","--"
"Tuckertown Hydro",10371,10371,"--","--","--","--","--"
"Turner Shoals",1064,1064,"--","--","--","--","--"
"Tuxedo",2136,2136,"--","--","--","--","--"
"Upper Pacolet Hydro",308,308,"--","--","--","--","--"
"Walters",30140,30140,"--","--","--","--","--"
"Ware Shoals Hydro Project",1184,1184,"--","--","--","--","--"
"Wateree Hydro",21193,21193,"--","--","--","--","--"
"Wylie",11089,11089,"--","--","--","--","--"
