"Time period","Coal","Nuclear","CCGT","Hydro","Geothermal","Diesel"
"t1",0.00,11170.00,17921.00,703.20,0.00,0.00
"t2",0.00,11170.00,17860.80,703.20,0.00,0.00
"t3",0.00,11170.00,18162.00,703.20,0.00,0.00
"t4",0.00,11170.00,18935.20,703.20,0.00,0.00
"t5",158.00,11170.00,19800.00,703.20,0.00,0.00
"t6",1671.80,11170.00,19800.00,703.20,0.00,0.00
"t7",3478.20,11170.00,19800.00,703.20,0.00,0.00
"t8",4746.80,11170.00,19800.00,703.20,0.00,0.00
"t9",5314.80,11170.00,19800.00,703.20,0.00,0.00
"t10",4828.80,11170.00,19800.00,703.20,0.00,0.00
"t11",4061.80,11170.00,19800.00,703.20,0.00,0.00
"t12",2715.80,11170.00,19800.00,703.20,0.00,0.00
"t13",1331.80,11170.00,19800.00,703.20,0.00,0.00
"t14",55.10,11170.00,19800.00,703.20,0.00,0.00
"t15",0.00,11170.00,19263.30,703.20,0.00,0.00
"t16",0.00,11170.00,19311.70,703.20,0.00,0.00
"t17",849.40,11170.00,19800.00,703.20,0.00,0.00
"t18",3954.70,11170.00,19800.00,703.20,0.00,0.00
"t19",5768.60,11170.00,19800.00,703.20,0.00,0.00
"t20",5850.00,11170.00,19800.00,703.20,0.00,570.80
"t21",5850.00,11170.00,19800.00,703.20,0.00,1010.73
"t22",5850.00,11170.00,19800.00,703.20,0.00,1104.80
"t23",5850.00,11170.00,19800.00,703.20,0.00,568.80
"t24",5516.00,11170.00,19800.00,703.20,0.00,0.00
"t25",1035.40,11170.00,19800.00,703.20,0.00,0.00
"t26",1114.60,11170.00,19800.00,703.20,0.00,0.00
"t27",1585.80,11170.00,19800.00,703.20,0.00,0.00
"t28",2539.60,11170.00,19800.00,703.20,0.00,0.00
"t29",3997.20,11170.00,19800.00,703.20,0.00,0.00
"t30",5784.80,11170.00,19800.00,703.20,0.00,0.00
"t31",5850.00,11170.00,19800.00,703.20,0.00,1190.00
"t32",5850.00,11170.00,19800.00,703.20,0.00,1190.00
"t33",5850.00,11170.00,19800.00,703.20,0.00,1190.00
"t34",5850.00,11170.00,19800.00,703.20,0.00,0.00
"t35",4347.60,11170.00,19800.00,703.20,0.00,0.00
"t36",2384.40,11170.00,19800.00,703.20,0.00,0.00
"t37",420.80,11170.00,19800.00,703.20,0.00,0.00
"t38",0.00,11170.00,18731.80,703.20,0.00,0.00
"t39",0.00,11170.00,17519.30,703.20,0.00,0.00
"t40",0.00,11170.00,16673.90,703.20,0.00,0.00
"t41",0.00,11170.00,17259.90,703.20,0.00,0.00
"t42",0.00,11170.00,19800.00,703.20,0.00,0.00
"t43",1855.30,11170.00,19800.00,703.20,0.00,0.00
"t44",3487.20,11170.00,19800.00,703.20,0.00,0.00
"t45",3616.10,11170.00,19800.00,703.20,0.00,0.00
"t46",3715.80,11170.00,19800.00,703.20,0.00,0.00
"t47",3334.40,11170.00,19800.00,703.20,0.00,0.00
"t48",3481.80,11170.00,19800.00,703.20,0.00,0.00
"t49",3004.80,11170.00,19800.00,703.20,0.00,0.00
"t50",926.80,11170.00,19800.00,703.20,0.00,0.00
"t51",0.00,11170.00,19269.80,703.20,0.00,0.00
"t52",0.00,11170.00,18770.20,703.20,0.00,0.00
"t53",0.00,11170.00,19051.40,703.20,0.00,0.00
"t54",0.00,11170.00,19800.00,703.20,0.00,0.00
"t55",1313.80,11170.00,19800.00,703.20,0.00,0.00
"t56",1471.20,11170.00,19800.00,703.20,0.00,0.00
"t57",620.20,11170.00,19800.00,703.20,0.00,0.00
"t58",0.00,11170.00,19367.00,703.20,0.00,0.00
"t59",0.00,11170.00,17825.60,703.20,0.00,0.00
"t60",0.00,11170.00,16624.80,703.20,0.00,0.00
"t61",0.00,11170.00,15786.80,703.20,0.00,0.00
"t62",0.00,11170.00,12225.20,703.20,0.00,0.00
"t63",0.00,11170.00,9804.00,703.20,0.00,0.00
"t64",0.00,11170.00,8653.30,703.20,0.00,0.00
"t65",0.00,11170.00,8945.10,703.20,0.00,0.00
"t66",0.00,11170.00,11355.20,703.20,0.00,0.00
"t67",0.00,11170.00,13593.70,703.20,0.00,0.00
"t68",0.00,11170.00,14934.10,703.20,0.00,0.00
